2025/06/30 10:09:54 配置文件加载成功！
2025/06/30 10:09:54 数据库连接成功！
2025/06/30 10:09:54 数据库迁移成功！
2025/06/30 10:09:54 Redis 连接成功！
2025/06/30 10:09:54 WebSocket Hub 已启动
2025/06/30 10:09:54 🔧 后台 Worker 已启动，正在等待任务...
2025/06/30 10:09:54 ✅ WebSocket通知已启用
2025/06/30 10:11:05 📋 接收到新任务, 图片 ID: 1282
2025/06/30 10:11:05 错误: 解码图像 uploads/originals/20250630101105-test_image.png 失败: png: invalid format: invalid checksum
2025/06/30 10:11:05 ❌ 错误: 处理图片 (ID: 1282) 失败: 无法解码图像，可能是不支持的格式
2025/06/30 10:38:54 📋 接收到新任务, 图片 ID: 1283
2025/06/30 10:38:54 ✅ 成功处理图片 (ID: 1283), 缩略图路径: uploads/thumbnails/thumb-20250630103854-600x600bb (1) (1).jpg
2025/06/30 11:09:39 📋 接收到新任务, 图片 ID: 1284
2025/06/30 11:09:39 ✅ 成功处理图片 (ID: 1284), 缩略图路径: uploads/thumbnails/thumb-20250630110939-600x600bb (1) (1).jpg
2025/06/30 15:36:27 📋 接收到新任务, 图片 ID: 1285
2025/06/30 15:36:27 ✅ 成功处理图片 (ID: 1285), 缩略图路径: uploads/thumbnails/thumb-20250630153627-600x600bb (1) (1).jpg
2025/06/30 15:36:53 📋 接收到新任务, 图片 ID: 1286
2025/06/30 15:36:53 ✅ 成功处理图片 (ID: 1286), 缩略图路径: uploads/thumbnails/thumb-20250630153653-camera_1751269012576.jpg
2025/06/30 17:03:40 📋 接收到新任务, 图片 ID: 1287
2025/06/30 17:03:40 ✅ 成功处理图片 (ID: 1287), 缩略图路径: uploads/thumbnails/thumb-20250630170340-600x600bb (1).jpg
2025/06/30 22:35:13 📋 接收到新任务, 图片 ID: 1288
2025/06/30 22:35:13 ✅ 成功处理图片 (ID: 1288), 缩略图路径: uploads/thumbnails/thumb-20250630223513-kodim01.png
2025/06/30 22:35:13 📋 接收到新任务, 图片 ID: 1289
2025/06/30 22:35:13 ✅ 成功处理图片 (ID: 1289), 缩略图路径: uploads/thumbnails/thumb-20250630223513-kodim02.png
2025/06/30 22:35:13 📋 接收到新任务, 图片 ID: 1290
2025/06/30 22:35:13 ✅ 成功处理图片 (ID: 1290), 缩略图路径: uploads/thumbnails/thumb-20250630223513-kodim03.png
